origin_loc_id,zone_name,MAE,RMSE,R2
170,Murray Hill,18.287033095353458,26.055588629344633,0.9144913878164527
162,Midtown East,21.81279851235353,33.1428619129624,0.9234263322479519
230,Times Sq/Theatre District,22.056640382762872,32.198259319774124,0.9273471555134553
142,Lincoln Square East,27.897981938272334,43.94518137270218,0.8260318225193115
186,Penn Station/Madison Sq West,28.39120588687852,39.99549173014076,0.8048212534236661
161,Midtown Center,29.284932092933424,46.151584939236976,0.940679113361838
237,Upper East Side South,31.726035390209063,48.295677312698736,0.9145327718906112
138,LaGuardia Airport,34.68233594792227,53.62512639252932,0.6113571195149122
236,Upper East Side North,36.755664038014494,58.69779250344603,0.8400151728149102
132,JFK Airport,38.62556507652647,54.25385499506388,0.8534981523299497
